timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-09-20,0.5305,0.58,0.5233,0.5652,21115087.27,1537487999999,11384177.85531,20130,13574548.08,7303418.228957,0
2018-09-21,0.5648,0.633,0.5533,0.63,25209745.7,1537574399999,14747770.866983,35833,14782235.54,8628564.863135,0
2018-09-22,0.63,0.647,0.5745,0.607,15042376.55,1537660799999,9090342.625781,23845,8391168.38,5071855.16411,0
2018-09-23,0.6088,0.6332,0.5938,0.6114,16936770.54,1537747199999,10364807.229236,18052,10598665.39,6488257.435549,0
2018-09-24,0.6115,0.6162,0.54,0.5594,23418114.07,1537833599999,13355598.014347,36372,12861364.9,7361153.094797,0
2018-09-25,0.5595,0.572,0.5239,0.5705,14018722.16,1537919999999,7637393.20331,30127,8548853.43,4653151.318437,0
2018-09-26,0.5707,0.5755,0.5405,0.5479,13074787.32,1538006399999,7312205.748555,16557,8094618.87,4527551.980668,0
2018-09-27,0.5488,0.6044,0.534,0.5863,15481083.74,1538092799999,8771945.633834,24909,9544511.38,5407821.540998,0
2018-09-28,0.5866,0.5949,0.5532,0.5704,14715287.24,1538179199999,8434352.694105,19591,9105891.59,5223041.681382,0
2018-09-29,0.5697,0.5744,0.5525,0.5663,10358556.83,1538265599999,5853191.732573,12199,6889855.89,3893506.659207,0
2018-09-30,0.5657,0.5748,0.5567,0.5677,12250661.07,1538351999999,6939312.977237,13616,7965281.29,4513335.914897,0
2018-10-01,0.5679,0.5813,0.542,0.5616,11363776.58,1538438399999,6435172.444777,14893,7061659.63,4007915.633674,0
2018-10-02,0.5617,0.5711,0.5516,0.562,13217851.01,1538524799999,7457238.061037,14047,8304633.52,4685920.338999,0
2018-10-03,0.561,0.5615,0.5432,0.5547,11385078.26,1538611199999,6281880.15374,13537,7294173.58,4026337.68408,0
2018-10-04,0.555,0.577,0.5538,0.5579,14261147.08,1538697599999,8009096.414662,14314,9473464.76,5319649.690086,0
2018-10-05,0.558,0.583,0.5507,0.5748,14157145.61,1538783999999,7990628.571148,12861,9389572.49,5297421.572249,0
2018-10-06,0.5746,0.5799,0.5601,0.5661,12534967.85,1538870399999,7153784.906148,10938,7920671.08,4519684.313419,0
2018-10-07,0.5664,0.5775,0.5586,0.575,11693367.46,1538956799999,6628902.271321,9924,7990967.9,4531374.739093,0
2018-10-08,0.575,0.6104,0.5726,0.6041,16678363.59,1539043199999,9825024.453522,19772,10220109.26,6021371.657603,0
2018-10-09,0.6038,0.6093,0.5818,0.592,15701474.53,1539129599999,9335322.570998,15411,9630943.62,5726982.755542,0
2018-10-10,0.592,0.5983,0.5671,0.5875,14997918.4,1539215999999,8737569.30195,15096,9708259.99,5656770.898557,0
2018-10-11,0.5877,0.5892,0.4723,0.4803,18934406.75,1539302399999,9795326.383407,26420,9888965.04,5110205.838375,0
2018-10-12,0.4804,0.5115,0.4743,0.4885,14165681.58,1539388799999,7058439.409924,16238,8823528.82,4399705.875877,0
2018-10-13,0.4893,0.5048,0.4857,0.4881,12447323.57,1539475199999,6183762.185254,12083,8532603.7,4238888.956217,0
2018-10-14,0.4888,0.5022,0.4821,0.4858,12453979.22,1539561599999,6172746.981907,11283,7884929.82,3909758.260142,0
2018-10-15,0.4877,0.7162,0.4753,0.5141,23734943.32,1539647999999,12395544.100338,34122,13906202.29,7293453.871846,0
2018-10-16,0.5132,0.5211,0.5063,0.5147,13240687.6,1539734399999,6791822.85742,12629,8562908.57,4393394.040923,0
2018-10-17,0.5147,0.5306,0.507,0.5249,15613605.84,1539820799999,8085891.030594,14778,10076456.5,5223103.570269,0
2018-10-18,0.5242,0.5402,0.4961,0.5028,16466197.47,1539907199999,8509120.502045,16537,10212512.55,5276045.85783,0
2018-10-19,0.5023,0.5077,0.49,0.4926,11914907.29,1539993599999,5939543.188377,12503,7836633.12,3907648.94487,0
2018-10-20,0.4924,0.5112,0.4917,0.5012,14999553.32,1540079999999,7545130.608065,14361,9614515.71,4838361.248027,0
2018-10-21,0.5011,0.512,0.4905,0.498,15217932.85,1540166399999,7706805.003064,15731,8062259.93,4084053.539327,0
2018-10-22,0.4979,0.5049,0.4881,0.4983,9720910.12,1540252799999,4838615.519734,12967,4806897.39,2393391.516686,0
2018-10-23,0.4977,0.503,0.4889,0.4987,6506435.99,1540339199999,3227333.621833,9628,3154133.89,1564586.874614,0
2018-10-24,0.4986,0.5045,0.496,0.4976,3299064.69,1540425599999,1647349.89022,7494,1818681.06,908276.639206,0
2018-10-25,0.4977,0.5059,0.4916,0.4973,2886177.3,1540511999999,1437927.3798,9768,1486055.87,740948.220029,0
2018-10-26,0.4982,0.5021,0.4876,0.4937,2847898.58,1540598399999,1412225.91268,6793,1463536.18,726346.174372,0
2018-10-27,0.4939,0.4959,0.4745,0.4794,2706640.19,1540684799999,1321087.385675,6636,1480099.86,724620.688052,0
2018-10-28,0.4795,0.492,0.4729,0.4819,2791324.74,1540771199999,1339228.865576,5352,1411573.55,678066.27845,0
2018-10-29,0.4826,0.4844,0.4458,0.4483,4749657.18,1540857599999,2199277.333396,10271,2337672.81,1080531.281921,0
2018-10-30,0.4486,0.4619,0.448,0.4506,3095766.77,1540943999999,1407913.515981,6633,1754957.66,797968.317484,0
