timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2019-04-29,61.92,62.56,60.11,61.08,5090.66645,1556582399999,312348.4698718,1302,2391.7225,147025.8431874,0
2019-04-30,61.08,62.78,60.69,62.55,7116.48954,1556668799999,440965.8752368,1705,3840.83995,238158.2828657,0
2019-05-01,62.66,65.64,62.66,65.64,6909.20936,1556755199999,442896.1330631,2442,3536.48956,227049.9501444,0
2019-05-02,65.48,66.5,63.92,65.1,7072.43933,1556841599999,460406.4537975,2205,2897.65147,188941.3620363,0
2019-05-03,65.1,68.58,64.59,67.46,7737.58686,1556927999999,517808.4444057,2735,3882.40006,259739.5620537,0
2019-05-04,67.5,68.97,65.7,68.4,8906.19039,1557014399999,596677.7722428,2756,4803.42624,322487.4323184,0
2019-05-05,68.5,68.99,65.98,66.52,7426.58798,1557100799999,500103.71721,2107,3166.38242,213624.3755831,0
2019-05-06,66.71,68.29,64.67,67.5,9994.15459,1557187199999,666584.4923129,2800,3996.14614,266041.2076491,0
2019-05-07,67.5,71.21,65.83,65.93,15408.82311,1557273599999,1060742.7273735,4930,8793.55431,605598.2148167,0
2019-05-08,65.93,68.29,65.12,67.93,3580.67708,1557359999999,238837.926056,1257,2082.03454,138962.8968103,0
2019-05-09,68.06,69.19,64.26,65.61,5488.80394,1557446399999,367056.1613713,1874,2797.96684,187897.7402884,0
2019-05-10,65.79,69.33,64.97,68.84,4925.69109,1557532799999,332508.5457383,1732,2812.69301,190175.9175211,0
2019-05-11,68.87,81.72,68.87,77.73,16162.74421,1557619199999,1202928.7020181,6274,8951.60976,662768.0100522,0
2019-05-12,77.5,81.4,71.6,75.66,15792.30652,1557705599999,1214177.344527,5659,6988.29931,540449.7627384,0
2019-05-13,75.45,82.67,74.86,79.53,9969.95875,1557791999999,790982.1497609,4473,5063.4786,400738.2034122,0
2019-05-14,79.51,84.91,72.0,83.46,10703.24128,1557878399999,875750.6608864,5889,5615.0825,460169.2217503,0
2019-05-15,83.46,95.03,82.37,94.0,12453.84595,1557964799999,1115166.8837289,4490,5868.04192,529258.5457842,0
2019-05-16,94.01,97.27,84.51,87.2,19593.50079,1558051199999,1763578.7544225,7726,7492.04287,673567.5370272,0
2019-05-17,87.1,87.79,76.25,82.61,14493.81658,1558137599999,1172382.8957103,6105,7859.89326,636782.5253079,0
2019-05-18,82.61,83.0,78.95,79.75,10043.79016,1558223999999,817276.8718755,3636,4845.67116,396781.4691127,0
2019-05-19,79.55,90.6,79.39,90.09,15529.76599,1558310399999,1338656.2122681,6160,8964.63392,771752.5155005,0
2019-05-20,89.72,90.3,84.0,87.19,11784.15685,1558396799999,1025526.2771451,5705,5778.13385,503952.6107544,0
2019-05-21,87.14,92.5,87.06,88.51,16885.20812,1558483199999,1509649.3472736,6387,8680.38727,776923.6242592,0
2019-05-22,88.51,91.27,80.18,83.07,17803.41345,1558569599999,1561979.0667336,5986,8975.1174,792881.037067,0
2019-05-23,83.19,85.34,80.66,84.69,8565.1374,1558655999999,715170.7892813,3098,4161.51188,348815.0445873,0
2019-05-24,84.81,86.93,83.36,85.44,9096.99016,1558742399999,778608.7093081,3336,3906.92268,334441.2869921,0
2019-05-25,85.32,87.31,85.02,86.8,5615.95591,1558828799999,484005.8979823,2109,2809.40744,242626.1381647,0
2019-05-26,86.67,92.39,85.0,91.3,12335.57747,1558915199999,1091675.8017529,4754,7385.9815,655820.5986724,0
2019-05-27,91.22,98.84,91.22,97.43,13539.46342,1559001599999,1291150.8589221,5863,7382.44196,705590.1490927,0
2019-05-28,97.31,98.47,95.28,95.93,7523.91455,1559087999999,728268.3789286,3291,3449.31861,334279.1430445,0
2019-05-29,95.63,95.91,90.0,93.81,9949.82174,1559174399999,931838.6845371,4723,4438.74019,415820.4241326,0
2019-05-30,93.77,98.99,88.28,91.61,15633.5112,1559260799999,1479581.1220098,7474,7140.58461,676312.5432124,0
2019-05-31,91.69,93.66,89.07,93.25,8083.30206,1559347199999,742662.621134,3306,4032.80642,370442.2834346,0
2019-06-01,93.25,93.93,91.07,92.96,11483.95396,1559433599999,1060713.4276505,3979,4622.36661,427456.9783132,0
2019-06-02,92.82,96.14,92.56,94.77,4403.96219,1559519999999,416719.8966252,3004,2313.99713,218997.5886778,0
2019-06-03,94.77,96.0,88.83,88.85,8904.17858,1559606399999,827452.8254096,4605,3239.15084,302148.0338795,0
2019-06-04,88.81,89.0,81.17,83.65,11825.09013,1559692799999,1012864.3492638,4669,6356.02241,543705.0483258,0
2019-06-05,83.65,87.0,82.87,84.65,8431.71469,1559779199999,716080.1419521,2647,3697.63141,313900.4898233,0
2019-06-06,84.63,87.14,82.78,86.69,9642.1719,1559865599999,822840.0538771,2356,4474.91343,381934.7268963,0
2019-06-07,86.73,89.52,85.09,88.0,10052.83018,1559951999999,878084.1292931,3228,4544.14845,396367.1613686,0
2019-06-08,87.64,88.52,85.89,87.32,4056.75701,1560038399999,353943.7982156,1871,1724.05051,150629.2365368,0
2019-06-09,87.29,87.89,82.07,83.38,9455.74156,1560124799999,802047.9993833,2541,4951.99738,421029.0084039,0
2019-06-10,83.04,87.36,82.29,86.72,6575.96616,1560211199999,559260.6022641,2409,2828.76805,240864.5559324,0
2019-06-11,86.72,87.5,85.28,86.13,6339.17915,1560297599999,548686.4698745,2042,2970.24951,257455.6978421,0
2019-06-12,86.19,90.14,85.38,90.1,10887.79337,1560383999999,961639.8231994,4140,5469.66818,483024.222142,0
2019-06-13,90.1,91.98,89.01,89.26,10717.84928,1560470399999,970222.7168792,3733,5592.08842,506634.8346905,0
2019-06-14,89.35,90.7,87.0,90.29,10244.47299,1560556799999,910203.3402951,3637,4361.9232,388221.2556915,0
2019-06-15,90.52,95.23,89.78,94.72,14677.60094,1560643199999,1368170.3105158,5460,9214.72634,859718.6108022,0
2019-06-16,94.85,97.82,93.8,95.99,10278.45841,1560729599999,984168.7652413,5215,4569.74369,437897.8937163,0
2019-06-17,95.99,99.68,95.99,98.71,13294.6198,1560815999999,1306493.2145019,5104,7216.98038,709809.0821819,0
2019-06-18,98.3,98.98,95.03,96.49,9353.88194,1560902399999,907555.1235335,3432,3943.05985,382789.5243974,0
2019-06-19,96.49,102.31,95.81,100.19,17807.59049,1560988799999,1774377.8154666,5598,7581.62529,755150.7392914,0
2019-06-20,100.37,109.01,99.73,105.07,30271.81513,1561075199999,3156384.5022124,8920,15280.20348,1595458.013292,0
2019-06-21,105.24,110.09,105.24,109.54,20466.16925,1561161599999,2208151.7636376,7376,10927.37989,1180033.771366,0
2019-06-22,109.5,119.07,107.57,115.48,26341.54906,1561247999999,3018809.5400788,10608,11824.61758,1350278.3711877,0
2019-06-23,115.65,121.55,114.21,116.01,14517.91873,1561334399999,1704411.4157363,6577,6032.56651,709127.3811842,0
2019-06-24,115.68,119.98,112.64,117.86,12161.42684,1561420799999,1412563.2498747,5525,6475.69034,751933.0005736,0
2019-06-25,117.87,118.39,111.43,112.3,20565.13464,1561507199999,2361396.6148206,13829,5911.32561,680725.803495,0
2019-06-26,112.33,114.43,99.51,105.0,79140.38783,1561593599999,8500300.1735883,25809,31780.23938,3436831.4613788,0
2019-06-27,105.0,106.91,89.31,96.38,45856.10467,1561679999999,4414092.6693897,17981,21238.6515,2059469.2033774,0
2019-06-28,96.39,103.0,94.28,102.06,23897.83876,1561766399999,2361660.7578767,8460,12484.23895,1233272.2935762,0
2019-06-29,102.0,102.09,93.2,99.93,14519.59403,1561852799999,1418226.2242292,6688,6109.19799,597059.9342343,0
2019-06-30,100.27,100.96,87.8,88.71,19417.20628,1561939199999,1818803.0740544,7387,7782.69633,728564.8101249,0
2019-07-01,88.74,94.8,84.14,88.96,25094.33496,1562025599999,2246094.2740779,8590,9935.86452,890638.4817106,0
2019-07-02,88.96,89.6,82.43,86.73,21375.88579,1562111999999,1824426.3501917,7254,10155.87009,868867.075886,0
2019-07-03,86.78,92.4,85.59,89.84,22812.01135,1562198399999,2018766.7863177,7111,11652.17096,1034276.7894396,0
2019-07-04,89.93,92.9,87.14,87.65,14815.03405,1562284799999,1333405.3189788,4971,7570.3486,681781.0863554,0
2019-07-05,87.63,92.65,86.18,89.45,10878.13902,1562371199999,965623.3826176,4245,4869.87134,433979.9920782,0
